AGE	SEXE	REGION	STAT_MARI	SAL_HOR	SYNDICAT	CATEGORIE	NIV_ETUDES	NB_PERS	NB_ENF	REV_FOYER
43	F	S	M	10.50	non	3	39	3	1	13
23	M	W	C	10.00	non	1	40	1	0	8
56	M	W	M	29.50	oui	1	39	2	0	12
37	F	NE	C	11.50	non	5	43	1	0	11
34	M	S	C	7.00	non	7	37	2	0	13
48	M	NE	M	12.50	oui	3	39	3	1	7
18	F	NE	C	7.50	non	4	37	6	0	15
31	F	S	M	15.00	non	2	42	4	2	14
23	M	W	M	20.00	non	2	43	2	0	9
27	M	S	D	20.00	non	9	42	4	2	7
51	M	S	C	11.00	non	10	33	4	1	10
37	F	W	C	25.00	non	3	39	3	2	12
61	F	NW	M	21.00	non	1	40	2	0	15
49	F	NW	M	15.00	non	9	39	2	0	15
27	M	W	S	8.00	non	10	35	6	0	4
62	M	S	M	32.00	non	1	43	2	0	16
22	M	W	C	9.00	non	5	40	4	0	11
51	M	NE	D	20.00	non	8	39	2	0	13
65	F	NE	M	15.12	non	5	39	2	0	16
31	M	S	C	12.50	non	4	43	1	0	13
35	M	NE	C	15.00	non	4	43	1	0	8
21	F	S	C	7.25	non	4	40	3	0	9
49	M	W	D	20.00	non	2	43	2	0	13
52	M	W	M	15.30	oui	5	43	6	1	14
57	F	W	M	10.72	non	3	40	3	0	1
53	M	S	M	40.40	non	2	43	6	3	16
56	F	NE	D	8.00	non	3	43	2	1	15
51	M	NW	M	36.25	oui	7	39	4	0	15
56	F	NW	M	30.00	non	2	44	2	0	13
52	M	NW	M	31.00	non	9	42	2	0	13
26	F	S	C	10.00	non	3	43	2	0	9
51	M	S	M	29.00	oui	9	39	3	1	14
43	F	S	M	23.00	non	3	41	4	1	12
20	F	S	C	13.00	non	5	40	4	0	9
21	M	W	C	11.00	non	3	40	3	0	10
47	M	S	M	13.00	oui	3	43	3	1	14
56	M	W	M	12.50	non	9	40	3	0	11
44	M	NE	M	30.00	oui	8	39	4	2	13
31	M	S	C	18.00	non	2	43	2	0	15
39	F	NE	M	8.25	non	4	39	4	2	14
54	F	W	D	17.00	non	5	40	2	0	15
22	F	NW	C	21.00	non	2	43	2	0	13
41	M	NW	M	25.00	oui	9	40	4	2	13
49	M	NW	M	25.00	non	7	39	5	2	14
58	F	W	V	12.53	non	3	39	1	0	13
38	F	W	D	32.00	non	10	39	4	2	10
45	F	NW	M	8.75	non	2	38	5	3	8
43	M	W	M	18.50	non	8	39	6	3	11
28	F	NW	D	10.00	non	2	40	4	2	11
46	F	NW	M	15.99	non	5	41	2	0	1
58	F	NW	M	32.70	non	2	43	4	0	14
44	F	S	M	10.25	non	5	40	2	0	11
53	F	W	M	15.00	non	9	40	3	0	11
35	M	NE	M	15.00	non	8	39	4	2	9
25	F	W	C	8.50	non	4	40	8	0	14
24	F	NW	C	7.50	non	3	39	2	0	8
44	M	W	C	10.00	non	6	32	4	2	9
53	F	NW	M	41.20	oui	2	42	2	0	14
38	M	S	M	13.25	non	2	40	2	0	15
63	M	S	M	45.50	non	8	43	5	1	16
53	M	NE	M	15.00	oui	9	39	4	0	15
20	M	W	C	16.00	non	3	40	4	0	7
32	F	S	S	12.40	non	5	39	2	0	12
51	M	NE	M	15.50	non	2	39	6	1	15
32	M	S	M	7.25	non	10	39	8	6	6
25	M	W	C	37.35	oui	7	40	7	0	12
29	F	S	C	3.50	non	3	39	4	1	12
49	F	NE	M	27.00	non	1	42	5	1	16
23	F	NE	C	12.00	non	3	39	2	0	12
26	F	W	C	10.00	non	2	39	8	0	15
